Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,MNQ 03-26,Backtest,Algo Exchange Signals V1.1,Long,1,15529.25,15479.25,1/4/2021 11:52:00 AM,1/4/2021 11:58:00 AM,FileLong,Stop loss,($100.00),($100.00),$0.00,$0.00,$0.00,$0.00,$0.00,$100.00,$16.00,$116.00,7,
2,MNQ 03-26,Backtest,Algo Exchange Signals V1.1,Long,1,15464.75,15414.75,1/4/2021 12:02:00 PM,1/4/2021 12:10:00 PM,FileLong,Stop loss,($100.00),($200.00),$0.00,$0.00,$0.00,$0.00,$0.00,$100.00,$18.00,$118.00,9,
3,MNQ 03-26,Backtest,Algo Exchange Signals V1.1,Long,1,15596.00,15550.75,1/5/2021 9:57:00 AM,1/5/2021 11:13:00 AM,FileLong,Stop loss,($90.50),($290.50),$0.00,$0.00,$0.00,$0.00,$0.00,$98.00,$50.00,$140.50,77,
4,MNQ 03-26,Backtest,Algo Exchange Signals V1.1,Long,1,15559.25,15550.75,1/5/2021 11:12:00 AM,1/5/2021 11:13:00 AM,FileLong,Stop loss,($17.00),($307.50),$0.00,$0.00,$0.00,$0.00,$0.00,$24.50,$2.00,$19.00,2,
5,MNQ 03-26,Backtest,Algo Exchange Signals V1.1,Long,1,15551.50,15635.50,1/5/2021 12:32:00 PM,1/5/2021 3:56:00 PM,FileLong,TimeExitLong,$168.00,($139.50),$0.00,$0.00,$0.00,$0.00,$0.00,$18.50,$178.50,$10.50,205,
6,MNQ 03-26,Backtest,Algo Exchange Signals V1.1,Long,1,15613.25,15635.50,1/5/2021 2:07:00 PM,1/5/2021 3:56:00 PM,FileLong,TimeExitLong,$44.50,($95.00),$0.00,$0.00,$0.00,$0.00,$0.00,$41.50,$55.00,$10.50,110,
7,MNQ 03-26,Backtest,Algo Exchange Signals V1.1,Long,1,15635.50,15632.25,1/5/2021 3:56:00 PM,1/5/2021 3:57:00 PM,ScaleInLong,Stop loss,($6.50),($101.50),$0.00,$0.00,$0.00,$0.00,$0.00,$12.50,$6.00,$12.50,2,
8,MNQ 03-26,Backtest,Algo Exchange Signals V1.1,Long,1,15403.00,15353.00,1/6/2021 5:12:00 AM,1/6/2021 6:06:00 AM,FileLong,Stop loss,($100.00),($201.50),$0.00,$0.00,$0.00,$0.00,$0.00,$100.00,$20.00,$120.00,55,
9,MNQ 03-26,Backtest,Algo Exchange Signals V1.1,Long,1,15520.75,15566.25,1/7/2021 3:22:00 AM,1/7/2021 9:19:00 AM,FileLong,Stop loss,$91.00,($110.50),$0.00,$0.00,$0.00,$0.00,$0.00,$43.00,$111.00,$20.00,358,
10,MNQ 03-26,Backtest,Algo Exchange Signals V1.1,Long,1,15529.50,15566.25,1/7/2021 4:06:00 AM,1/7/2021 9:19:00 AM,ScaleInLong,Stop loss,$73.50,($37.00),$0.00,$0.00,$0.00,$0.00,$0.00,$56.50,$93.50,$20.00,314,
