

TradeStation Trades List

#,Type,Date/Time,Signal,Price,Roll Over Pips,Shares/Ctrts - Profit/Loss,Net Profit - Cum Net Profit,% Profit,Run-up/Drawdown,Efficiency,Total Eff.,Comm.,Slippage

1,Buy,1/7/2021 09:32,LE,$15615.00,$0.00,1,$250.50,0.80%,$250.50,99.40%,,$0.00,$0.00
,Sell,1/7/2021 10:06,Profit Target,$15740.25,,$250.50,$250.50,,($1.50),100.00%,99.40%,$0.00,$0.00
2,Buy,1/7/2021 09:46,ConsLE,$15669.50,$0.00,1,$141.50,0.45%,$141.50,74.67%,,$0.00,$0.00
,Sell,1/7/2021 10:06,Profit Target,$15740.25,,$141.50,$392.00,,($48.00),100.00%,74.67%,$0.00,$0.00
3,Buy,1/7/2021 10:06,ConsLE,$15736.00,$0.00,1,$8.50,0.03%,$8.50,42.50%,,$0.00,$0.00
,Sell,1/7/2021 10:06,Profit Target,$15740.25,,$8.50,$400.50,,($11.50),100.00%,42.50%,$0.00,$0.00
4,Buy,1/13/2021 09:31,LE,$15771.50,$0.00,1,$122.00,0.39%,$173.50,66.99%,,$0.00,$0.00
,Sell,1/13/2021 11:52,% Trailing Stop,$15832.50,,$122.00,$522.50,,($85.50),80.12%,47.10%,$0.00,$0.00
5,Buy,1/13/2021 10:36,ConsLE,$15807.00,$0.00,1,$51.00,0.16%,$102.50,99.03%,,$0.00,$0.00
,Sell,1/13/2021 11:52,% Trailing Stop,$15832.50,,$51.00,$573.50,,($1.00),50.24%,49.28%,$0.00,$0.00
6,Buy,1/13/2021 11:36,ConsLE,$15841.75,$0.00,1,($18.50),-0.06%,$33.00,64.08%,,$0.00,$0.00
,Sell,1/13/2021 11:52,% Trailing Stop,$15832.50,,($18.50),$555.00,,($18.50),0.00%,-35.92%,$0.00,$0.00
7,Buy,1/14/2021 09:33,LE,$15858.25,$0.00,1,($22.50),-0.07%,$70.50,58.51%,,$0.00,$0.00
,Sell,1/14/2021 11:36,Stop Loss,$15847.00,,($22.50),$532.50,,($50.00),22.82%,-18.67%,$0.00,$0.00
8,Buy,1/14/2021 10:51,ConsLE,$15885.75,$0.00,1,($77.50),-0.24%,$15.50,16.67%,,$0.00,$0.00
,Sell,1/14/2021 11:36,Stop Loss,$15847.00,,($77.50),$455.00,,($77.50),0.00%,-83.33%,$0.00,$0.00
9,Buy,1/25/2021 09:30,LE,$16362.00,$0.00,1,($0.50),0.00%,$115.50,98.30%,,$0.00,$0.00
,Sell,1/25/2021 10:37,Stop Loss,$16361.75,,($0.50),$454.50,,($2.00),1.28%,-0.43%,$0.00,$0.00
10,Buy,1/25/2021 09:46,ConsLE,$16411.75,$0.00,1,($100.00),-0.30%,$10.00,9.09%,,$0.00,$0.00
