Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,MNQ 03-26,Backtest,Algo Exchange Signals V1.1,Long,1,18473.50,18466.50,1/5/2024 10:07:00 AM,1/5/2024 11:22:00 AM,FileLong,RevExitLong,($15.90),($15.90),$1.90,$0.00,$0.00,$0.00,$0.00,$50.00,$81.00,$96.90,76,
2,MNQ 03-26,Backtest,Algo Exchange Signals V1.1,Long,1,18495.75,18466.50,1/5/2024 10:36:00 AM,1/5/2024 11:22:00 AM,ScaleInLong,RevExitLong,($60.40),($76.30),$1.90,$0.00,$0.00,$0.00,$0.00,$65.00,$36.50,$96.90,47,
3,MNQ 03-26,Backtest,Algo Exchange Signals V1.1,Long,1,18493.50,18466.50,1/5/2024 10:37:00 AM,1/5/2024 11:22:00 AM,FileLong,RevExitLong,($55.90),($132.20),$1.90,$0.00,$0.00,$0.00,$0.00,$60.50,$41.00,$96.90,46,
4,MNQ 03-26,Backtest,Algo Exchange Signals V1.1,Long,1,18501.25,18466.50,1/5/2024 10:47:00 AM,1/5/2024 11:22:00 AM,FileLong,RevExitLong,($71.40),($203.60),$1.90,$0.00,$0.00,$0.00,$0.00,$76.00,$25.50,$96.90,36,
5,MNQ 03-26,Backtest,Algo Exchange Signals V1.1,Short,1,18467.50,18429.75,1/5/2024 11:23:00 AM,1/5/2024 1:42:00 PM,FileShort,RevExitShort,$73.60,($130.00),$1.90,$0.00,$0.00,$0.00,$0.00,$16.00,$200.50,$126.90,140,
6,MNQ 03-26,Backtest,Algo Exchange Signals V1.1,Short,1,18466.75,18429.75,1/5/2024 11:32:00 AM,1/5/2024 1:42:00 PM,FileShort,RevExitShort,$72.10,($57.90),$1.90,$0.00,$0.00,$0.00,$0.00,$1.00,$199.00,$126.90,131,
7,MNQ 03-26,Backtest,Algo Exchange Signals V1.1,Short,1,18436.25,18429.75,1/5/2024 11:51:00 AM,1/5/2024 1:42:00 PM,ScaleInShort,RevExitShort,$11.10,($46.80),$1.90,$0.00,$0.00,$0.00,$0.00,$48.00,$138.00,$126.90,112,
8,MNQ 03-26,Backtest,Algo Exchange Signals V1.1,Long,1,18432.75,18417.00,1/5/2024 1:43:00 PM,1/5/2024 2:22:00 PM,FileLong,RevExitLong,($33.40),($80.20),$1.90,$0.00,$0.00,$0.00,$0.00,$51.50,$27.00,$60.40,40,
9,MNQ 03-26,Backtest,Algo Exchange Signals V1.1,Short,1,18420.25,18399.75,1/5/2024 2:23:00 PM,1/5/2024 3:56:00 PM,FileShort,TimeExitShort,$39.10,($41.10),$1.90,$0.00,$0.00,$0.00,$0.00,$12.00,$159.50,$120.40,94,
10,MNQ 03-26,Backtest,Algo Exchange Signals V1.1,Short,1,18386.75,18399.75,1/5/2024 2:51:00 PM,1/5/2024 3:56:00 PM,ScaleInShort,TimeExitShort,($27.90),($69.00),$1.90,$0.00,$0.00,$0.00,$0.00,$28.50,$92.50,$120.40,66,
